 LEA 	 LEA Name 	 SCH 	 School Name 	 ADM 	Reduced	Free	Needy %	Grade
 010 	 ALAMANCE-BURLINGTON  	 303 	 ALAMANCE-BURLINGTON  	 75 	 3 	 28 	41.33%	10   12
 010 	 ALAMANCE-BURLINGTON  	 304 	 ALEXANDER WILSON ELE 	 563 	 25 	 247 	48.31%	K    05
 010 	 ALAMANCE-BURLINGTON  	 308 	 ALTAMAHAW OSSIPEE EL 	 618 	 25 	 220 	39.64%	K    05
 010 	 ALAMANCE-BURLINGTON  	 310 	 BROADVIEW MIDDLE     	 687 	 50 	 555 	88.06%	06   08
 010 	 ALAMANCE-BURLINGTON  	 312 	 HIGHLAND ELEMENTARY  	 628 	 36 	 185 	35.19%	K    05
 010 	 ALAMANCE-BURLINGTON  	 320 	 E M YODER ELEMENTARY 	 396 	 25 	 117 	35.86%	K    05
 010 	 ALAMANCE-BURLINGTON  	 324 	 EASTERN ALAMANCE HIG 	" 1,103 "	 51 	 270 	29.10%	09   12
 010 	 ALAMANCE-BURLINGTON  	 326 	 EASTLAWN ELEMENTARY  	 433 	 26 	 396 	97.46%	K    05
 010 	 ALAMANCE-BURLINGTON  	 328 	 EDWIN M HOLT ELEMENT 	 685 	 30 	 206 	34.45%	K    05
 010 	 ALAMANCE-BURLINGTON  	 340 	 ELON ELEMENTARY      	 647 	 29 	 203 	35.86%	K    05
 010 	 ALAMANCE-BURLINGTON  	 346 	 B EVERETT JORDAN ELE 	 485 	 51 	 225 	56.91%	K    05
 010 	 ALAMANCE-BURLINGTON  	 347 	 GARRETT ELEMENTARY   	 719 	 39 	 328 	51.04%	K    05
 010 	 ALAMANCE-BURLINGTON  	 348 	 GRAHAM HIGH          	 753 	 59 	 402 	61.22%	09   12
 010 	 ALAMANCE-BURLINGTON  	 350 	 GRAHAM MIDDLE        	 677 	 51 	 478 	78.14%	06   08
 010 	 ALAMANCE-BURLINGTON  	 351 	 GROVE PARK ELEMENTAR 	 540 	 55 	 373 	79.26%	K    05
 010 	 ALAMANCE-BURLINGTON  	 353 	 HAWFIELDS MIDDLE     	 704 	 44 	 291 	47.59%	06   08
 010 	 ALAMANCE-BURLINGTON  	 354 	 HARVEY R NEWLIN ELEM 	 619 	 33 	 539 	92.41%	K    05
 010 	 ALAMANCE-BURLINGTON  	 357 	 HAW RIVER ELEMENTARY 	 433 	 21 	 412 	100.00%	K    05
 010 	 ALAMANCE-BURLINGTON  	 358 	 HILLCREST ELEMENTARY 	 530 	 34 	 393 	80.57%	K    05
