Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2005	10	Alamance-Burlington Schools	"4,364.77"	111	460.61	87	"1,440.93"	41	"6,266.31"	100
2005	20	Alexander County Schools	"4,540.93"	102	382.5	102	970.78	100	"5,894.21"	113
2005	30	Alleghany County Schools	"6,806.86"	6	619.73	55	"1,167.61"	74	"8,594.20"	14
2005	40	Anson County Schools	"5,411.28"	31	"1,076.19"	16	964.64	101	"7,452.11"	46
2005	50	Ashe County Schools	"5,830.55"	25	830.38	32	"1,185.41"	73	"7,846.34"	32
2005	761	Asheboro City Schools	"4,877.54"	68	623.45	54	"1,501.12"	38	"7,002.11"	66
2005	111	Asheville City Schools	"5,026.80"	52	813.51	33	"3,959.34"	1	"9,799.65"	4
2005	60	Avery County Schools	"6,308.96"	13	991.49	21	"1,696.24"	29	"8,996.69"	7
2005	70	Beaufort County Schools	"5,116.95"	44	858.1	30	"1,268.60"	59	"7,243.65"	56
2005	80	Bertie County Schools	"6,040.38"	19	"1,234.75"	9	"1,107.63"	84	"8,382.76"	18
2005	90	Bladen County Schools	"5,317.75"	34	"1,367.05"	6	"1,216.06"	69	"7,900.86"	30
2005	100	Brunswick County Schools	"4,866.15"	70	568.07	64	"2,116.04"	15	"7,550.26"	41
2005	110	Buncombe County Schools	"4,623.99"	92	462.75	86	"1,665.18"	31	"6,751.92"	75
2005	120	Burke County Schools	"4,712.29"	82	515.76	78	951.27	103	"6,179.32"	105
2005	130	Cabarrus County Schools	"4,370.45"	110	335.88	110	"1,507.39"	37	"6,213.72"	103
2005	140	Caldwell County Schools	"4,680.76"	86	418.46	93	"1,133.05"	78	"6,232.27"	101
2005	150	Camden County Schools	"6,401.54"	11	317.06	113	642.96	114	"7,361.56"	51
2005	160	Carteret County Schools	"4,886.42"	65	566.94	65	"2,276.41"	8	"7,729.77"	34
2005	170	Caswell County Schools	"6,034.09"	20	608.38	58	748.81	113	"7,391.28"	47
2005	180	Catawba County Schools	"4,527.09"	103	363.19	109	"1,288.45"	56	"6,178.73"	106
2005	681	Chapel-Hill/Carrboro City Schools	"4,618.66"	94	367.05	107	"3,906.83"	2	"8,892.54"	10
2005	600	Charlotte-Mecklenburg County Schools	"4,396.77"	108	483.17	80	"2,235.94"	10	"7,115.88"	62
2005	190	Chatham County Schools	"4,649.22"	89	451.81	88	"2,269.31"	9	"7,370.34"	50
2005	200	Cherokee County Schools	"5,620.84"	28	802.88	35	"1,077.76"	88	"7,501.48"	44
2005	220	Clay County Schools	"6,619.79"	8	481.1	81	"1,160.92"	75	"8,261.81"	20
2005	230	Cleveland County Schools	"4,889.47"	64	516.11	77	"1,393.00"	49	"6,798.58"	72
2005	821	Clinton City Schools	"5,177.76"	39	633.53	52	"1,326.60"	54	"7,137.89"	60
2005	240	Columbus County Schools	"5,269.70"	37	916.24	27	950.09	104	"7,136.03"	61
2005	250	Craven County Schools	"4,739.66"	78	872.4	29	"1,066.88"	91	"6,678.94"	82
2005	260	Cumberland County Schools	"4,580.44"	98	796.83	36	"1,244.92"	64	"6,622.19"	87
2005	270	Currituck County Schools	"5,023.51"	53	327.45	112	"1,928.16"	18	"7,279.12"	55
2005	280	Dare County Schools	"4,798.04"	72	367.49	106	"3,655.15"	3	"8,820.68"	12
2005	290	Davidson County Schools	"4,339.08"	113	302.38	114	"1,125.54"	80	"5,767.00"	115
2005	300	Davie County Schools	"4,611.10"	96	328.98	111	"1,243.91"	65	"6,183.99"	104
2005	310	Duplin County Schools	"4,913.13"	62	835.58	31	"1,029.14"	95	"6,777.85"	73
