Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2008	10	Alamance-Burlington Schools	"5,294.00"	105	408.89	100	"1,463.17"	61	"7,166.06"	110
2008	20	Alexander County Schools	"5,545.05"	87	433.05	97	"1,080.42"	100	"7,058.52"	112
2008	30	Alleghany County Schools	"7,331.81"	16	677.33	48	"2,005.88"	24	"10,015.02"	14
2008	40	Anson County Schools	"7,012.38"	25	"1,009.23"	19	"1,291.10"	83	"9,312.71"	26
2008	50	Ashe County Schools	"6,725.25"	30	819.26	31	"1,275.56"	84	"8,820.07"	38
2008	761	Asheboro City Schools	"5,803.39"	67	690.31	46	"1,906.63"	29	"8,400.33"	56
2008	111	Asheville City Schools	"5,921.40"	59	"1,093.79"	12	"4,711.86"	1	"11,727.05"	3
2008	60	Avery County Schools	"7,131.17"	22	816.71	32	"1,954.07"	25	"9,901.95"	15
2008	70	Beaufort County Schools	"6,041.39"	48	844.78	29	"1,581.66"	53	"8,467.83"	54
2008	80	Bertie County Schools	"7,271.85"	18	"1,197.86"	9	"1,337.41"	77	"9,807.12"	18
2008	90	Bladen County Schools	"6,365.58"	37	"1,287.43"	7	"1,072.55"	101	"8,725.56"	44
2008	100	Brunswick County Schools	"5,670.76"	75	526	82	"2,309.91"	15	"8,506.67"	52
2008	110	Buncombe County Schools	"5,522.56"	89	488.42	90	"1,929.14"	27	"7,940.12"	72
2008	120	Burke County Schools	"5,683.17"	72	658.24	52	"1,339.61"	76	"7,681.02"	85
2008	130	Cabarrus County Schools	"5,076.75"	114	360.69	108	"1,700.24"	42	"7,137.68"	111
2008	140	Caldwell County Schools	"5,725.13"	70	556.79	71	"1,117.81"	98	"7,399.73"	105
2008	150	Camden County Schools	"7,084.24"	24	256.89	115	980.85	107	"8,321.98"	58
2008	160	Carteret County Schools	"5,790.15"	68	507.23	86	"2,472.14"	12	"8,769.52"	42
2008	170	Caswell County Schools	"7,335.49"	14	662.09	51	779.02	115	"8,776.60"	41
2008	180	Catawba County Schools	"5,468.53"	92	363.12	107	"1,599.66"	47	"7,431.31"	101
2008	681	Chapel-Hill/Carrboro City Schools	"5,195.04"	110	354.5	110	"4,658.90"	2	"10,208.44"	12
2008	600	Charlotte-Mecklenburg County Schools	"5,234.28"	108	501.72	87	"2,413.55"	14	"8,149.55"	68
2008	190	Chatham County Schools	"5,556.72"	86	562.92	70	"3,113.83"	5	"9,233.47"	30
2008	200	Cherokee County Schools	"6,728.07"	29	667.71	50	"1,364.68"	73	"8,760.46"	43
2008	220	Clay County Schools	"7,735.14"	7	484.35	92	"1,087.72"	99	"9,307.21"	27
2008	230	Cleveland County Schools	"5,897.67"	60	637.04	56	"1,657.43"	45	"8,192.14"	66
2008	821	Clinton City Schools	"6,022.88"	50	675.26	49	"1,533.69"	57	"8,231.83"	63
2008	240	Columbus County Schools	"6,596.92"	32	762.49	41	921.19	111	"8,280.60"	60
2008	250	Craven County Schools	"5,527.43"	88	807.74	36	"1,292.17"	82	"7,627.34"	90
2008	260	Cumberland County Schools	"5,378.88"	99	854.81	28	"1,443.26"	64	"7,676.95"	87
2008	270	Currituck County Schools	"6,005.86"	51	395.08	103	"2,229.16"	17	"8,630.10"	47
2008	280	Dare County Schools	"5,805.67"	65	376.26	105	"4,358.18"	3	"10,540.11"	9
2008	290	Davidson County Schools	"5,229.39"	109	314.21	113	"1,026.50"	106	"6,570.10"	115
2008	300	Davie County Schools	"5,450.72"	95	333.37	111	"1,445.63"	63	"7,229.72"	108
2008	310	Duplin County Schools	"6,139.71"	45	732.11	42	940.47	109	"7,812.29"	79
2008	320	Durham County Schools	"5,615.66"	81	642.2	55	"3,077.23"	6	"9,335.09"	25
2008	210	Edenton-Chowan County Schools	"7,126.99"	23	811.66	33	"1,891.27"	30	"9,829.92"	17
2008	330	Edgecombe County Schools	"6,094.90"	46	653.96	53	877.27	113	"7,626.13"	91
2008	861	Elkin City Schools	"6,257.77"	41	450.21	95	"2,078.94"	19	"8,786.92"	40
2008	340	Forsyth County Schools	"5,680.86"	73	548.1	72	"2,431.29"	13	"8,660.25"	46
2008	350	Franklin County Schools	"5,635.27"	78	618.17	57	"1,390.04"	71	"7,643.48"	89
2008	360	Gaston County Schools	"5,164.69"	112	518.51	83	"1,354.65"	75	"7,037.85"	113
2008	370	Gates County Schools	"7,547.87"	10	608.44	58	"1,577.32"	54	"9,733.63"	22
2008	380	Graham County Schools	"8,488.23"	4	"1,009.64"	18	904.21	112	"10,402.08"	10
2008	390	Granville County Schools	"5,673.81"	74	438.72	96	"1,405.70"	66	"7,518.23"	98
2008	400	Greene County Schools	"7,192.19"	19	811.49	34	"1,177.97"	93	"9,181.65"	31
2008	410	Guilford County Schools	"5,306.11"	104	604.59	60	"2,615.67"	10	"8,526.37"	51
2008	420	Halifax County Schools	"7,289.93"	17	"1,039.38"	17	955.38	108	"9,284.69"	29
2008	430	Harnett County Schools	"5,622.63"	79	533.28	80	"1,248.81"	85	"7,404.72"	104
2008	440	Haywood County Schools	"5,665.20"	76	571.53	68	"1,924.89"	28	"8,161.62"	67
2008	450	Henderson County Schools	"5,446.13"	96	537.21	78	"1,589.16"	51	"7,572.50"	95
2008	460	Hertford County Schools	"7,664.98"	8	"1,092.50"	13	"1,298.02"	78	"10,055.50"	13
2008	181	Hickory City Schools	"5,365.94"	100	591.28	61	"1,593.58"	49	"7,550.80"	97
2008	470	Hoke County Schools	"6,370.59"	36	786.67	37	"1,060.01"	104	"8,217.27"	64
2008	480	Hyde County Schools	"12,226.33"	2	"1,438.78"	1	"2,014.46"	23	"15,679.57"	1
2008	490	Iredell-Statesville Schools	"5,274.46"	106	391.46	104	"1,677.39"	43	"7,343.31"	106
2008	500	Jackson County Schools	"5,954.78"	55	581.54	65	"2,075.12"	20	"8,611.44"	49
2008	510	Johnston County Schools	"5,477.80"	91	422.71	98	"1,529.55"	58	"7,430.06"	102
2008	520	Jones County Schools	"9,111.56"	3	980.73	20	"1,170.83"	95	"11,263.12"	5
2008	132	Kannapolis City Schools	"5,457.64"	94	855.84	27	"1,709.94"	40	"8,023.42"	70
2008	530	Lee County Schools	"5,601.34"	84	529.11	81	"1,598.68"	48	"7,729.13"	82
2008	540	Lenoir County Schools	"6,203.63"	43	776.95	39	"1,295.77"	79	"8,276.35"	61
2008	291	Lexington City Schools	"6,250.55"	42	925.42	24	"1,865.90"	31	"9,041.87"	32
2008	550	Lincoln County Schools	"5,403.46"	98	414.32	99	"1,354.73"	74	"7,172.51"	109
2008	560	Macon County Schools	"5,787.18"	69	515.99	84	"1,771.87"	39	"8,075.04"	69
2008	570	Madison County Schools	"6,792.72"	28	590.88	62	"1,070.82"	102	"8,454.42"	55
2008	580	Martin County Schools	"7,344.94"	13	"1,228.18"	8	"1,787.05"	36	"10,360.17"	11
2008	590	McDowell County Schools	"5,965.54"	54	536.13	79	"1,215.69"	89	"7,717.36"	83
2008	610	Mitchell County Schools	"7,131.54"	21	498.15	88	"1,221.42"	88	"8,851.11"	37
2008	620	Montgomery County Schools	"6,314.11"	38	767.53	40	"1,547.82"	56	"8,629.46"	48
2008	630	Moore County Schools	"5,414.43"	97	488.4	91	"1,852.62"	33	"7,755.45"	81
2008	491	Mooresville City Schools	"5,152.79"	113	275.28	114	"2,023.34"	22	"7,451.41"	100
2008	862	Mount Airy City Schools	"6,305.49"	39	933.14	23	"2,047.77"	21	"9,286.40"	28
2008	640	Nash-Rocky Mount Schools	"5,805.03"	66	684.01	47	"1,413.00"	65	"7,902.04"	74
2008	650	New Hanover County Schools	"5,360.41"	101	607.55	59	"2,958.50"	7	"8,926.46"	33
2008	182	Newton-Conover City Schools	"5,645.72"	77	"1,058.93"	14	"1,777.20"	37	"8,481.85"	53
2008	660	Northampton County Schools	"7,585.83"	9	"1,183.28"	10	"1,790.99"	35	"10,560.10"	8
2008	670	Onslow County Schools	"5,263.79"	107	571	69	"1,587.93"	52	"7,422.72"	103
2008	680	Orange County Schools	"5,593.47"	85	356.49	109	"3,438.96"	4	"9,388.92"	24
2008	690	Pamlico County Schools	"8,132.28"	5	969.22	21	"1,489.40"	60	"10,590.90"	7
2008	700	Pasquotank County Schools	"6,154.24"	44	832.57	30	"1,821.40"	34	"8,808.21"	39
2008	710	Pender County Schools	"5,521.88"	90	538.38	77	"1,391.28"	70	"7,451.54"	99
2008	720	Perquimans County Schools	"7,333.99"	15	"1,040.24"	16	"1,295.59"	80	"9,669.82"	23
2008	730	Person County Schools	"5,874.02"	61	474.51	93	"1,556.96"	55	"7,905.49"	73
2008	740	Pitt County Schools	"5,607.56"	83	575.65	66	"1,589.53"	50	"7,772.74"	80
2008	750	Polk County Schools	"6,662.22"	31	584.39	63	"2,602.46"	11	"9,849.07"	16
2008	760	Randolph County Schools	"5,346.38"	102	403.75	102	"1,230.61"	87	"6,980.74"	114
2008	770	Richmond County Schools	"6,520.67"	34	728.7	43	"1,062.39"	103	"8,311.76"	59
2008	421	Roanoke Rapids City Schools	"6,057.99"	47	810.45	35	"1,856.34"	32	"8,724.78"	45
2008	780	Robeson County Schools	"6,384.76"	35	"1,126.30"	11	847.52	114	"8,358.58"	57
2008	790	Rockingham County Schools	"5,833.95"	64	583.87	64	"1,397.41"	68	"7,815.23"	78
2008	800	Rowan-Salisbury County Schools	"5,460.70"	93	543.49	76	"1,674.86"	44	"7,679.05"	86
2008	810	Rutherford County Schools	"5,976.76"	53	575.24	67	"1,393.92"	69	"7,945.92"	71
2008	999	STATE TOTAL	"5,612.47"	0	572.9	0	"1,860.12"	0	"8,045.49"	0
2008	820	Sampson County Schools	"5,951.68"	56	717.17	44	934.98	110	"7,603.83"	93
2008	830	Scotland County Schools	"6,822.50"	27	"1,332.32"	3	"1,641.71"	46	"9,796.53"	19
2008	840	Stanly County Schools	"5,990.45"	52	497.8	89	"1,165.38"	96	"7,653.63"	88
2008	850	Stokes County Schools	"5,923.78"	58	508.22	85	"1,387.46"	72	"7,819.46"	77
2008	860	Surry County Schools	"5,857.98"	62	547.56	74	"1,292.75"	81	"7,698.29"	84
2008	870	Swain County Schools	"7,440.32"	11	"1,056.09"	15	"1,244.29"	86	"9,740.70"	21
2008	292	Thomasville City Schools	"5,838.31"	63	"1,307.35"	4	"1,775.34"	38	"8,921.00"	34
2008	880	Transylvania County Schools	"5,609.83"	82	547.64	73	"2,080.14"	18	"8,237.61"	62
2008	890	Tyrrell County Schools	"12,864.36"	1	"1,290.64"	6	"1,207.40"	91	"15,362.40"	2
2008	900	Union County Schools	"5,045.88"	115	331.16	112	"1,936.22"	26	"7,313.26"	107
2008	910	Vance County Schools	"6,571.39"	33	857.58	26	"1,172.47"	94	"8,601.44"	50
2008	920	Wake County Schools	"5,180.39"	111	371.8	106	"2,269.17"	16	"7,821.36"	76
2008	930	Warren County Schools	"7,381.04"	12	936.92	22	"1,459.71"	62	"9,777.67"	20
2008	940	Washington County Schools	"7,778.98"	6	"1,305.30"	5	"1,701.14"	41	"10,785.42"	6
2008	950	Watauga County Schools	"5,717.73"	71	406.31	101	"2,764.18"	9	"8,888.22"	35
2008	960	Wayne County Schools	"6,030.81"	49	652.2	54	"1,180.66"	92	"7,863.67"	75
2008	422	Weldon City Schools	"7,180.33"	20	"1,390.26"	2	"2,782.88"	8	"11,353.47"	4
2008	241	Whiteville City Schools	"6,288.11"	40	888.03	25	"1,030.05"	105	"8,206.19"	65
2008	970	Wilkes County Schools	"5,617.57"	80	545.68	75	"1,398.03"	67	"7,561.28"	96
2008	980	Wilson County Schools	"5,334.51"	103	712.82	45	"1,529.55"	58	"7,576.88"	94
2008	990	Yadkin County Schools	"5,944.99"	57	456.52	94	"1,211.94"	90	"7,613.45"	92
2008	995	Yancey County Schools	"6,955.21"	26	778.64	38	"1,152.01"	97	"8,885.86"	36
										
1										
