LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	5191.18	97	619.3	103	1899.64	27	7710.12	90
20	Alexander County Schools	5741.37	58	802.77	77	865.21	112	7409.35	102
30	Alleghany County Schools	7120.02	15	1113.48	31	1770.17	38	10003.67	14
40	Anson County Schools	6838.74	22	1750.52	2	1214.72	84	9803.98	19
50	Ashe County Schools	6586.81	30	1057.20	40	1260.31	78	8904.32	37
761	Asheboro City Schools	5490.37	72	1110.82	32	1585.65	55	8186.84	62
111	Asheville City Schools	5491.29	71	1344.15	12	4071.23	3	10906.67	5
60	Avery County Schools	6955.92	18	1074.51	37	1915.95	25	9946.38	16
70	Beaufort County Schools	5875.44	48	1168.52	26	1658.11	49	8702.07	44
80	Bertie County Schools	7355.36	12	1212.95	21	975.24	105	9543.55	23
90	Bladen County Schools	6159.14	34	1468.51	8	1094.97	94	8722.62	43
100	Brunswick County Schools	5222.65	95	972.04	54	2374.66	13	8569.35	49
110	Buncombe County Schools	5136.21	100	787.68	79	1899.40	28	7823.29	84
120	Burke County Schools	5260.21	88	1011.93	47	902.69	110	7174.83	109
130	Cabarrus County Schools	4971.10	107	449.53	114	1518.65	59	6939.28	114
140	Caldwell County Schools	5648.44	62	857.82	71	1078.86	96	7585.12	96
150	Camden County Schools	6933.42	19	615.53	104	782.41	114	8331.36	53
160	Carteret County Schools	5339.63	82	712.46	94	2125.37	20	8177.46	64
170	Caswell County Schools	7198.84	14	960.8	56	773.43	115	8933.07	35
180	Catawba County Schools	5026.55	106	753.31	89	1497.82	61	7277.68	106
681	Chapel-Hill/Carrboro City Schools	4967.20	109	362.2	115	4915.52	1	10244.92	11
600	Charlotte-Mecklenburg County Schools	4948.12	111	760.61	85	1993.06	21	7701.79	91
190	Chatham County Schools	5464.27	74	567.7	108	2861.10	8	8893.07	39
200	Cherokee County Schools	6373.45	32	1076.23	36	1864.09	32	9313.77	28
220	Clay County Schools	7111.86	16	897.87	67	1390.47	67	9400.20	27
230	Cleveland County Schools	5732.55	59	950.19	60	1521.45	58	8204.19	60
821	Clinton City Schools	5651.29	61	1225.19	18	1618.87	53	8495.35	50
240	Columbus County Schools	6149.06	35	1046.87	42	1036.78	100	8232.71	58
250	Craven County Schools	5054.28	103	1190.05	23	1196.42	87	7440.75	100
260	Cumberland County Schools	5130.36	101	1213.24	20	1503.29	60	7846.89	80
270	Currituck County Schools	5317.09	84	597.83	106	2174.69	17	8089.61	68
280	Dare County Schools	5591.53	64	458.29	113	4431.29	2	10481.11	8
290	Davidson County Schools	5089.93	102	713.47	93	946.68	107	6750.08	115
300	Davie County Schools	5447.44	77	534.77	111	1779.46	37	7761.67	86
310	Duplin County Schools	5996.76	40	960.48	57	876.37	111	7833.61	81
320	Durham County Schools	5383.94	79	1009.99	49	3308.83	4	9702.76	20
210	Edenton-Chowan County Schools	6711.88	24	1063.58	39	1842.24	33	9617.70	21
330	Edgecombe County Schools	5983.06	41	1007.24	50	1053.25	97	8043.55	71
861	Elkin City Schools	6042.39	39	755.68	86	1663.16	47	8461.23	51
340	Forsyth County Schools	5332.85	83	865.33	70	2132.66	18	8330.84	54
350	Franklin County Schools	5583.93	67	810.59	76	1364.85	70	7759.37	87
360	Gaston County Schools	4930.02	112	793.97	78	1337.09	72	7061.08	112
370	Gates County Schools	7387.76	10	883.04	68	1827.54	35	10098.34	12
380	Graham County Schools	7680.93	6	1323.06	13	1027.15	102	10031.14	13
390	Granville County Schools	5516.60	69	656.06	100	1718.32	42	7890.98	77
400	Greene County Schools	6985.78	17	1070.50	38	1051.45	98	9107.73	30
410	Guilford County Schools	5173.39	98	916.8	65	2564.21	10	8654.40	46
420	Halifax County Schools	6677.34	26	2345.75	1	931.46	108	9954.55	15
430	Harnett County Schools	5520.66	68	768.69	84	1047.88	99	7337.23	105
440	Haywood County Schools	5481.73	73	823.89	73	1880.57	30	8186.19	63
450	Henderson County Schools	5301.78	85	609.42	105	1678.46	45	7589.66	95
460	Hertford County Schools	7348.12	13	1240.92	17	1344.25	71	9933.29	18
181	Hickory City Schools	5258.76	89	1118.00	30	1565.50	56	7942.26	74
470	Hoke County Schools	6222.79	33	815.36	74	1009.37	103	8047.52	70
480	Hyde County Schools	13469.53	1	1512.16	7	2865.66	7	17847.35	1
490	Iredell-Statesville Schools	4948.48	110	705.32	95	1619.92	52	7273.72	107
500	Jackson County Schools	5820.44	55	1128.91	27	1749.42	40	8698.77	45
510	Johnston County Schools	5215.63	96	748.13	91	1604.13	54	7567.89	97
520	Jones County Schools	9178.79	3	1125.73	29	1205.64	85	11510.16	4
132	Kannapolis City Schools	5232.58	92	1220.62	19	1705.90	43	8159.10	66
530	Lee County Schools	5376.40	81	634.95	102	1868.22	31	7879.57	78
540	Lenoir County Schools	5791.33	57	1021.40	46	1079.37	95	7892.10	76
291	Lexington City Schools	5891.17	47	1385.56	11	2127.92	19	9404.65	26
550	Lincoln County Schools	5036.70	105	558.2	109	1399.59	66	6994.49	113
560	Macon County Schools	5809.69	56	778.66	82	2238.66	16	8827.01	42
570	Madison County Schools	6852.08	21	956.05	59	1100.64	92	8908.77	36
580	Martin County Schools	6652.97	27	1098.73	34	1426.17	64	9177.87	29
590	McDowell County Schools	5825.35	54	1038.96	44	1127.73	90	7992.04	72
610	Mitchell County Schools	7381.73	11	982.23	53	1180.01	88	9543.97	22
620	Montgomery County Schools	6111.39	38	916	66	1373.22	68	8400.61	52
630	Moore County Schools	5227.93	94	537.28	110	1896.30	29	7661.51	92
491	Mooresville City Schools	4800.05	114	504.61	112	1948.23	23	7252.89	108
862	Mount Airy City Schools	5953.09	43	1182.36	24	1748.70	41	8884.15	40
640	Nash-Rocky Mount Schools	5904.54	45	1000.18	51	1288.97	77	8193.69	61
650	New Hanover County Schools	5158.56	99	576.09	107	2426.65	12	8161.30	65
182	Newton-Conover City Schools	5391.78	78	716.62	92	1791.51	36	7899.91	75
660	Northampton County Schools	7472.44	8	1568.47	6	1484.33	62	10525.24	7
670	Onslow County Schools	4694.29	115	786.47	80	1661.50	48	7142.26	111
680	Orange County Schools	5301.00	86	685.8	98	3009.66	6	8996.46	33
690	Pamlico County Schools	7604.29	7	1440.52	9	1649.76	51	10694.57	6
700	Pasquotank County Schools	5837.95	51	1043.93	43	1764.63	39	8646.51	47
710	Pender County Schools	5054.15	104	703.3	96	1682.80	44	7440.25	101
720	Perquimans County Schools	6884.91	20	1126.97	28	1452.73	63	9464.61	25
730	Person County Schools	5827.22	53	775.36	83	1653.36	50	8255.94	57
740	Pitt County Schools	5235.67	90	960.46	58	1549.47	57	7745.60	88
750	Polk County Schools	6634.78	28	1022.36	45	2284.59	15	9941.73	17
760	Randolph County Schools	5230.45	93	663.37	99	1258.93	79	7152.75	110
