LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	5164.61	101	761.11	58	1621.67	66	7547.39	105
20	Alexander County Schools	5682.10	68	582.65	94	1289.66	94	7554.41	103
30	Alleghany County Schools	7333.08	12	741.23	65	2570.42	13	10644.73	8
40	Anson County Schools	6982.95	19	1880.21	2	1227.53	102	10090.69	17
50	Ashe County Schools	6460.40	30	767.07	57	1552.49	77	8779.96	41
761	Asheboro City Schools	5666.94	69	872.96	43	1842.08	47	8381.98	58
111	Asheville City Schools	5599.61	72	1012.20	22	4178.89	3	10790.70	7
60	Avery County Schools	6870.17	20	1011.37	23	2042.27	31	9923.81	19
70	Beaufort County Schools	5687.07	67	960.18	30	1664.47	62	8311.72	63
80	Bertie County Schools	7241.86	13	985.77	25	1299.39	93	9527.02	27
90	Bladen County Schools	6321.34	32	1232.56	10	1568.05	74	9121.95	33
100	Brunswick County Schools	5250.93	95	740.93	66	2526.89	15	8518.75	50
110	Buncombe County Schools	5233.23	96	786.86	54	1971.44	34	7991.53	81
120	Burke County Schools	5518.08	75	806.96	51	1565.50	75	7890.54	84
130	Cabarrus County Schools	4957.33	111	459.54	109	1738.53	55	7155.40	112
140	Caldwell County Schools	5859.62	53	587.8	92	1301.72	92	7749.14	90
150	Camden County Schools	6683.92	27	397.52	113	1247.01	99	8328.45	62
160	Carteret County Schools	5461.72	80	586.19	93	2381.22	17	8429.13	57
170	Caswell County Schools	7095.17	16	753.44	61	878.36	113	8726.97	43
180	Catawba County Schools	5156.88	102	565.92	97	1635.06	64	7357.86	108
681	Chapel-Hill/Carrboro City Schools	4887.82	114	349.25	114	5196.60	1	10433.67	10
600	Charlotte-Mecklenburg County Schools	4924.16	113	561.42	98	2187.57	22	7673.15	95
190	Chatham County Schools	5409.97	84	623.81	84	3060.76	6	9094.54	35
200	Cherokee County Schools	6023.18	44	876.75	42	2185.81	23	9085.74	36
220	Clay County Schools	7644.72	8	611.96	87	1355.97	87	9612.65	24
230	Cleveland County Schools	5824.05	57	898.93	40	1843.72	46	8566.70	48
821	Clinton City Schools	5719.73	65	779.02	55	1804.30	51	8303.05	64
240	Columbus County Schools	6134.07	38	964.65	29	969.6	110	8068.32	75
250	Craven County Schools	5192.85	99	892.6	41	1636.89	63	7722.34	92
260	Cumberland County Schools	5050.55	107	932.58	35	1704.37	58	7687.50	94
270	Currituck County Schools	5466.02	79	601.65	89	2548.54	14	8616.21	45
280	Dare County Schools	5708.86	66	474.98	108	4236.02	2	10419.86	11
290	Davidson County Schools	5176.13	100	541.25	101	1238.24	100	6955.62	115
300	Davie County Schools	5470.12	78	517.1	102	1816.98	49	7804.20	86
310	Duplin County Schools	5855.34	56	933.65	34	1259.19	97	8048.18	77
320	Durham County Schools	5379.89	87	840.23	45	3485.58	4	9705.70	21
210	Edenton-Chowan County Schools	6812.76	23	937.01	33	1950.92	36	9700.69	22
330	Edgecombe County Schools	6195.69	34	973.78	28	1038.53	109	8208.00	69
861	Elkin City Schools	6055.32	42	772.08	56	1711.69	56	8539.09	49
340	Forsyth County Schools	5327.12	90	649.73	80	2256.49	19	8233.34	67
350	Franklin County Schools	5740.14	63	484.67	106	1524.13	78	7748.94	91
360	Gaston County Schools	4985.58	109	640.45	81	1376.91	84	7002.94	114
370	Gates County Schools	7635.24	9	747.22	63	1882.99	41	10265.45	12
380	Graham County Schools	7685.97	7	1194.98	13	1312.43	90	10193.38	15
390	Granville County Schools	5657.50	70	454.46	111	1905.39	37	8017.35	79
400	Greene County Schools	7207.13	15	1336.58	6	1415.54	80	9959.25	18
410	Guilford County Schools	5202.73	97	715.36	70	2826.51	8	8744.60	42
420	Halifax County Schools	6802.05	24	2922.59	1	823.49	114	10548.13	9
430	Harnett County Schools	5428.59	83	613.88	85	1209.68	105	7252.15	111
440	Haywood County Schools	5406.29	86	670.12	72	2082.14	29	8158.55	70
450	Henderson County Schools	5309.93	93	668.88	73	1801.86	52	7780.67	88
460	Hertford County Schools	7214.24	14	1012.58	21	1592.15	71	9818.97	20
181	Hickory City Schools	5452.42	81	937.25	32	1708.71	57	8098.38	73
470	Hoke County Schools	6039.94	43	650.38	79	909.14	112	7599.46	98
480	Hyde County Schools	12862.33	1	1440.30	3	2717.32	11	17019.95	1
490	Iredell-Statesville Schools	4929.43	112	480.69	107	1860.66	43	7270.78	110
500	Jackson County Schools	5813.23	58	825.98	46	1820.29	48	8459.50	55
510	Johnston County Schools	5364.56	89	602.69	88	1601.78	69	7569.03	100
520	Jones County Schools	8657.53	3	822.32	48	1680.89	59	11160.74	5
132	Kannapolis City Schools	5314.00	92	1070.89	19	2203.58	21	8588.47	46
530	Lee County Schools	5377.38	88	612.11	86	1903.69	38	7893.18	83
540	Lenoir County Schools	5803.08	59	918.87	37	1118.79	108	7840.74	85
291	Lexington City Schools	6155.53	35	983.9	26	1891.33	39	9030.76	37
550	Lincoln County Schools	5052.96	106	575.21	95	1376.75	85	7004.92	113
560	Macon County Schools	6018.42	45	664.2	76	2139.76	25	8822.38	39
570	Madison County Schools	6521.27	28	749	62	1234.53	101	8504.80	51
580	Martin County Schools	6837.93	21	908.66	38	1847.70	45	9594.29	25
590	McDowell County Schools	5936.12	49	1137.56	16	1404.66	82	8478.34	53
610	Mitchell County Schools	7586.43	10	654.17	78	1305.77	91	9546.37	26
620	Montgomery County Schools	6207.68	33	705.81	71	1554.16	76	8467.65	54
630	Moore County Schools	5196.05	98	597.9	90	2314.28	18	8108.23	72
491	Mooresville City Schools	5069.75	105	320.96	115	2171.30	24	7562.01	102
862	Mount Airy City Schools	6062.33	41	906.75	39	1672.77	61	8641.85	44
640	Nash-Rocky Mount Schools	5945.96	48	802.59	52	1610.44	68	8358.99	59
650	New Hanover County Schools	5120.70	104	657.91	77	2469.60	16	8248.21	66
182	Newton-Conover City Schools	5497.55	77	738.81	67	2102.13	27	8338.49	61
660	Northampton County Schools	7805.83	5	1326.91	7	1856.02	44	10988.76	6
670	Onslow County Schools	4958.46	110	817.17	49	1861.75	42	7637.38	97
680	Orange County Schools	5409.49	85	494.97	105	3477.08	5	9381.54	30
690	Pamlico County Schools	8160.10	4	1016.40	20	1984.31	33	11160.81	4
700	Pasquotank County Schools	5981.92	47	721.17	69	1884.20	40	8587.29	47
710	Pender County Schools	5132.76	103	495.48	104	1951.28	35	7579.52	99
720	Perquimans County Schools	6795.99	25	959	31	1674.21	60	9429.20	28
730	Person County Schools	5909.27	50	633.45	82	1746.06	54	8288.78	65
740	Pitt County Schools	5295.78	94	866.68	44	1620.01	67	7782.47	87
750	Polk County Schools	6725.57	26	822.68	47	2695.70	12	10243.95	13
760	Randolph County Schools	5500.10	76	570.9	96	1277.65	95	7348.65	109
770	Richmond County Schools	5992.11	46	927.26	36	1150.90	107	8070.27	74
421	Roanoke Rapids City Schools	5762.73	61	666.54	74	1578.35	72	8007.62	80
780	Robeson County Schools	6152.57	36	1220.88	12	779.04	115	8152.49	71
790	Rockingham County Schools	5859.11	54	588.38	91	1777.24	53	8224.73	68
800	Rowan-Salisbury County Schools	5439.74	82	632.25	83	1989.24	32	8061.23	76
810	Rutherford County Schools	5855.91	55	998.3	24	1624.71	65	8478.92	52
999	STATE TOTAL	5394.64	0	689.74	0	1948.94	0	8033.32	0
820	Sampson County Schools	5866.48	52	812.49	50	1250.72	98	7929.69	82
830	Scotland County Schools	6490.58	29	1101.21	17	2102.20	26	9693.99	23
840	Stanly County Schools	5791.44	60	555.85	99	1153.51	106	7500.80	107
850	Stokes County Schools	6085.88	40	759.71	60	1592.35	70	8437.94	56
860	Surry County Schools	5738.22	64	665.34	75	1369.21	86	7772.77	89
870	Swain County Schools	7075.22	18	1086.15	18	1267.07	96	9428.44	29
