,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,,United States (All Students),1465744,48,518,503,497,1021,1518,,,,
,,North Carolina (All Students),52690,71,513,495,485,1008,1493,,,,
,,NC School of Science & Math,280,NA,691,657,634,1348,1982,,,,
,,NC School of the Arts,95,NA,552,584,563,1136,1699,,,,
10,10,Alamance Burlington,724,57.1,509,487,472,996,1468,,,,
,303,Alamance-Burlington Middle College,,,,,,,,,,,
,324,Eastern Alamance High,104,51.5,531,501,497,1032,1529,,,,
,348,Graham High,77,55.8,479,470,457,949,1406,,,,
,360,HM Cummings HS,70,42.2,423,400,382,823,1205,,,,
,388,Southern High,134,52.5,500,476,457,976,1433,,,,
,396,Walter M Williams High,210,75.5,527,507,491,1034,1525,,,,
,400,Western Alamance High,129,62.3,538,510,494,1048,1542,,,,
01B,01B,River Mill Charter,11,84.6,496,481,494,977,1471,,,,
01C,01C,Clover Garden ,8,160,425,375,383,800,1183,,,,
01D,01D,New Century Charter ,7,36.8,431,497,460,928,1388,,,,
20,20,Alexander County,145,45.2,506,462,453,968,1421,,,,
,302,Alexander Central High,145,45.2,506,462,453,968,1421,,,,
30,30,Alleghany County,45,52.3,491,474,470,965,1435,,,,
,304,Alleghany High,45,52.3,491,474,470,965,1435,,,,
40,40,Anson County,124,47.3,451,433,419,884,1303,,,,
,304,Anson Early College ,,,,,,,,,,,
,305,Anson Challenge Acad ,,,,,,,,,,,
,306,Anson High,122,49.4,451,434,420,885,1305,,,,
50,50,Ashe County,102,62.6,524,508,499,1032,1531,,,,
,302,Ashe Cty. HS,102,62.6,524,508,499,1032,1531,,,,
60,60,Avery County,71,52.2,526,506,491,1032,1523,,,,
,302,Avery County High,71,52.2,526,506,491,1032,1523,,,,
06B,06B,Crossnore Academy ,7,100,336,339,331,675,1006,,,,
70,70,Beaufort County,178,44.3,492,474,466,966,1432,,,,
,330,Northside High,43,43.9,499,474,467,973,1440,,,,
,339,Southside High,30,36.1,492,480,466,972,1438,,,,
,342,Washington High,105,48.6,489,472,466,961,1427,,,,
80,80,Bertie County,108,54,414,398,392,812,1204,,,,
,312,Bertie High,108,56.5,414,398,392,812,1204,,,,
90,90,Bladen County,168,59.6,450,430,417,880,1297,,,,
,330,East Bladen High,75,54.3,444,420,422,864,1286,,,,
,368,West Bladen High,93,66,455,439,414,894,1308,,,,
100,100,Brunswick County,244,44.6,500,491,476,991,1467,,,,
,308,Brunswick Learn Center,,,,,,,,,,,
,326,North Brunswick High,64,42.7,460,452,429,912,1341,,,,
,334,South Brunswick High,82,44.8,512,503,489,1015,1504,,,,
,348,West Brunswick High,98,49.2,516,508,497,1024,1521,,,,
110,110,Buncombe County,848,56.5,541,511,498,1052,1550,,,,
,304,A C Reynolds High,170,57.6,540,528,508,1068,1576,,,,
,322,Buncombe Co Early Col,13,52,498,521,495,1019,1514,,,,
,323,Buncombe Co Middle C ,,,,,,,,,,,
