,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
, United States (All Students) ,1530128,46,515,501,493,1016,1509
, North Carolina (All Students) ,57147,63,511,495,480,1006,1486
, NC School Of Science & Math ,339, NA ,700,654,644,1354,1998
, NC School Of The Arts ,94, NA ,556,573,571,1129,1700
10, Alamance-Burlington Schools,770,59,506,479,462,985,1447
303, Alamance-Burlington Mid Colleg ,5,23.8,534,522,492,1056,1548
324, Eastern Alamance High ,108,63.2,544,497,475,1041,1516
348, Graham High ,92,56.8,449,431,414,880,1294
360, Hugh M Cummings High ,69,49.6,446,424,416,870,1286
388, Southern High ,147,51,503,472,454,975,1429
396, Walter M Williams High ,188,69.9,533,513,493,1046,1539
400, Western Alamance High ,161,63.9,511,483,472,994,1466
01B , River Mill Academy ,26,70.3,465,430,425,895,1320
01C , Clover Garden ,17,73.9,452,427,391,879,1270
01D , The Hawbridge School ,3,20,*,*,*,*,*
20, Alexander County Schools,130,36.9,502,474,466,976,1442
302, Alexander Central High ,130,36.9,502,474,466,976,1442
30, Alleghany County Sch ,40,44.4,504,498,458,1002,1460
304, Alleghany High ,40,44.4,504,498,458,1002,1460
40, Anson County Schools ,105,39.9,446,419,406,865,1271
304, Anson Early College High ,5,13.5,478,498,488,976,1464
306, Anson High ,99,46,447,416,403,863,1266
50, Ashe County Schools ,107,52.5,516,480,477,996,1473
302, Ashe County High ,107,52.5,516,480,477,996,1473
60, Avery County Schools ,65,47.1,490,489,472,979,1451
302, Avery County High ,65,47.1,490,489,472,979,1451
06B , Crossnore Academy ,2,33.3,*,*,*,*,*
70, Beaufort County Schools ,166,41,501,482,460,983,1443
330, Northside High ,32,29.6,526,490,475,1016,1491
339, Southside High ,27,33.8,519,473,447,992,1439
342, Washington High ,107,52.5,489,481,459,970,1429
80, Bertie County Schools,78,52.3,439,413,395,852,1247
312, Bertie High ,78,52.3,439,413,395,852,1247
90, Bladen County Schools,154,49,455,428,411,883,1294
330, East Bladen High ,61,45.2,455,422,420,877,1297
368, West Bladen High ,93,52,455,432,405,887,1292
100, Brunswick County Schools ,211,32.1,502,484,470,986,1456
307, Brunswick County Early College ,   ,   ,   ,   ,   ,   ,   
326, North Brunswick High ,53,26.5,468,447,438,915,1353
334, South Brunswick High ,81,38.2,509,498,481,1007,1488
348, West Brunswick High ,77,32.2,519,494,482,1013,1495
110, Buncombe County Schools ,816,52.2,540,515,496,1055,1551
304, A C Reynolds High ,174,58,556,550,525,1106,1631
322, Buncombe County Early College ,2,6.1,*,*,*,*,*
323, Buncombe County Middle College ,1,2.8,*,*,*,*,*
336, Charles D Owen High ,72,49.7,538,530,504,1068,1572
340, Clyde A Erwin High ,86,43,520,475,463,995,1458
352, Enka High ,131,47.8,521,493,469,1014,1483
380, North Buncombe High ,145,64.4,546,499,484,1045,1529
416, T C Roberson High ,204,61.6,542,522,508,1064,1572
111, Asheville City Schools,178,74.2,517,530,509,1047,1556
302, Asheville High ,171,77.7,518,530,507,1048,1555
700, Asheville High Of Inq & Life S ,7,35,504,531,557,1035,1592
120, Burke County Schools ,384,40,520,485,471,1005,1476
310, Burke Middle College ,25,67.6,500,454,448,954,1402
314, East Burke High ,126,48.1,523,478,466,1001,1467
318, Freedom High ,150,46.4,520,494,480,1014,1494
