,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
                   ,                   , United States (All Students) ,1660047,50,514,496,488,1010,1498
  ,  , North Carolina (All Students) ,58100,62,506,495,478,1001,1479
,, NC School of Science & Math ,358,NA,702,669,648,1371,2019
,, NC School of The Arts ,108,NA,558,578,576,1136,1712
10,10, Alamance-Burlington ,753,56.9,490,469,455,959,1414
10,303, Alamance-Burlington Mid Colleg ,11,27.5,471,523,477,994,1471
10,324, Eastern Alamance High ,141,71.9,511,470,464,981,1445
10,348, Graham High ,87,60.4,425,415,406,840,1246
10,360, Hugh M Cummings High ,51,31.1,453,437,412,890,1302
10,388, Southern Alamance High ,165,56.1,475,466,452,941,1393
10,396, Walter M Williams High ,133,60.7,516,493,477,1009,1486
10,400, Western Alamance High ,165,62.7,514,486,469,1000,1469
01B ,01B , River Mill Academy ,30,85.7,492,464,446,956,1402
01C ,01C , Clover Garden ,15,75,496,487,449,983,1432
01D ,01D , The Hawbridge School ,9,69.2,502,578,542,1080,1622
20,20, Alexander County Schools ,103,29.6,485,465,445,950,1395
20,302, Alexander Central High ,103,29.6,485,465,445,950,1395
30,30, Alleghany County Schools ,40,54.8,489,472,457,961,1418
30,304, Alleghany High ,40,54.8,489,472,457,961,1418
40,40, Anson County Schools ,127,51,419,423,409,842,1251
40,304, Anson Early College High ,32,57.1,467,477,467,944,1411
40,306, Anson High ,74,49.3,403,404,386,807,1193
40,700, Anson New Technology School ,21,87.5,402,405,400,807,1207
50,50, Ashe County Schools ,88,44.9,509,475,464,984,1448
50,302, Ashe County High ,88,44.9,509,475,464,984,1448
60,60, Avery County Schools ,25,18.1,504,523,499,1027,1526
60,302, Avery County High ,14,15.7,488,497,477,985,1462
60,700, Avery High Stem ,11,33.3,525,555,528,1080,1608
06B ,06B , Crossnore Academy ,6,85.7,352,365,395,717,1112
70,70, Beaufort County Schools ,187,40.2,477,463,441,940,1381
70,311, Beaufourt County Early College ,20,33.3,511,520,480,1031,1511
70,330, Northside High ,33,36.3,514,468,443,982,1425
70,339, Southside High ,35,34.7,469,458,440,927,1367
70,342, Washington High ,99,55.3,460,451,432,911,1343
80,80, Bertie County Schools ,121,71.2,404,394,380,798,1178
80,311, Bertie Early College High ,23,79.3,428,411,406,839,1245
80,312, Bertie High ,78,62.9,378,369,355,747,1102
80,700, Bertie Stem High ,20,100,479,474,449,953,1402
90,90, Bladen County Schools ,121,43.5,440,425,400,865,1265
90,330, East Bladen High ,63,48.5,434,423,394,857,1251
90,368, West Bladen High ,58,39.2,447,427,406,874,1280
100,100, Brunswick County Schools ,345,45.3,486,482,466,968,1434
100,307, Brunswick County Early College ,52,60.5,526,528,521,1054,1575
100,326, North Brunswick High ,69,34.5,473,459,458,932,1390
100,334, South Brunswick High ,93,44.7,499,497,468,996,1464
100,348, West Brunswick High ,131,49.1,469,464,446,933,1379
110,110, Buncombe County Schools ,757,48.3,530,523,502,1053,1555
110,303,Community High,4,11.1, * , * , * , * , * 
110,304, A C Reynolds High ,136,53.5,550,552,532,1102,1634
110,322, Buncombe County Early College ,32,45.1,528,554,513,1082,1595
110,336, Charles D Owen High ,97,58.4,499,496,472,995,1467
110,340, Clyde A Erwin High ,83,30.6,507,488,468,995,1463
110,352, Enka High ,102,46.4,497,495,467,992,1459
110,380, North Buncombe High ,119,57.2,540,527,500,1067,1567
110,416, T C Roberson High ,181,58.8,557,543,535,1100,1635
111,111, Asheville City Schools ,185,73.7,526,546,514,1072,1586
111,302, Asheville High ,167,76.6,523,542,510,1065,1575
111,700, Asheville High Of Inq & Life S ,18,54.5,550,583,548,1133,1681
120,120, Burke County Schools ,315,37.8,513,493,479,1006,1485
120,310, Burke Middle College ,13,20.6,528,512,503,1040,1543
120,314, East Burke High ,70,36.6,514,490,475,1004,1479
120,318, Freedom High ,79,37.1,498,492,481,990,1471
120,346, Jimmy C. Draughn High ,62,46.3,513,494,471,1007,1478
120,370, Robert L. Patton High ,91,50.8,523,492,482,1015,1497
130,130, Cabarrus County Schools ,1117,60.8,518,499,481,1017,1498
130,307, Cox Mill High School ,180,71.4,524,513,497,1037,1534
130,310, Central Cabarrus High ,135,52.7,480,456,439,936,1375
130,314, Concord High ,109,47.4,509,504,485,1013,1498
130,316, Jay M Robinson High ,189,61.8,533,511,492,1044,1536
130,324, Mount Pleasant High ,94,53.1,493,476,443,969,1412
130,326, N W Cabarrus High ,118,61.1,522,502,482,1024,1506
130,332, Hickory Ridge High ,258,77,533,508,496,1041,1537
130,333, Cabarrus County Performance Le ,4,8.9, * , * , * , * , * 
130,350, Cabarrus-Kannapolis Early Col ,30,100,538,509,485,1047,1532
132,132, Kannapolis City Schools ,114,37.4,469,459,439,928,1367
132,304, A L Brown High ,114,37.4,469,459,439,928,1367
140,140, Caldwell County Schools ,369,46.2,505,495,474,1000,1474
140,305, Caldwell Career Center Middle ,6,14.3,533,563,525,1096,1621
140,309, Caldwell Early College ,63,46.3,532,540,518,1072,1590
140,348, Hibriten High ,94,54.3,476,477,453,953,1406
140,386, South Caldwell High ,132,49.8,532,512,491,1044,1535
140,390, West Caldwell High ,74,41.6,470,445,428,915,1343
150,150, Camden County Schools ,80,69,480,481,463,961,1424
150,304, Camden County High ,57,73.1,476,470,458,946,1404
150,700, Cam Tech High ,23,60.5,489,508,475,997,1472
160,160, Carteret County Public Schools,273,53.8,529,517,495,1046,1541
160,313, East Carteret High ,44,45.4,517,493,465,1010,1475
160,314, Croatan High ,104,63.8,540,524,511,1064,1575
160,344, West Carteret High ,125,50.6,524,519,492,1043,1535
170,170, Caswell County Schools ,71,42.3,469,459,441,928,1369
170,316, Bartlett Yancey High ,71,42.3,469,459,441,928,1369
180,180, Catawba County Schools ,629,52.2,507,483,463,990,1453
180,308, Bandys High ,110,51.6,505,490,466,995,1461
180,320, Bunker Hill High ,65,33.2,477,457,428,934,1362
180,323, Catawba Rosenwald Ed Cntr ,,,   ,   ,   ,   ,   
180,325, Catawba Valley Early Coll Hi ,69,74.2,525,510,491,1035,1526
180,340, Fred T Foard High ,139,53.7,514,481,470,995,1465
180,348, Maiden High ,99,51,489,458,433,947,1380
180,376, Saint Stephens High ,147,59.8,519,496,476,1015,1491
181,181, Hickory City Schools ,134,58.8,520,497,486,1017,1503
181,318, Catawba Valley High ,6,23.1,387,352,390,739,1129
181,322, Hickory High ,128,63.4,526,504,491,1030,1521
182,182, Newton Conover City ,106,46.5,504,496,464,1000,1464
182,316, Newton-Conover High ,86,48.6,502,483,455,985,1440
182,700, Newton-Conover Health/Sci ,20,60.6,513,551,503,1064,1567
190,190, Chatham County Schools ,308,63.9,503,483,468,986,1454
190,316, Chatham Central High ,61,62.2,503,458,448,961,1409
190,336, Jordan Matthews High ,86,53.1,465,452,427,917,1344
190,342, Northwood High ,160,76.6,524,508,497,1032,1529
19B ,19B , Woods Charter ,37,94.9,555,574,561,1129,1690
200,200, Cherokee County Schools ,93,42.9,508,489,472,997,1469
200,308, Andrews High ,25,46.3,504,474,451,978,1429
200,314, Hiwassee Dam High ,15,41.7,503,475,466,978,1444
200,328, Murphy High ,47,52.8,507,496,480,1003,1483
200,350, Tri-County Early College High ,5,21.7,568,564,538,1132,1670
210,210, Edenton-Chowan Schools ,89,65,455,423,413,878,1291
210,312, John A Holmes High ,89,65,455,423,413,878,1291
220,220, Clay County Schools ,59,74.7,520,501,490,1021,1511
220,310, Hayesville High ,59,74.7,520,501,490,1021,1511
230,230, Cleveland County Schools ,524,52.1,498,475,451,973,1424
230,312, Burns High ,124,55.9,495,473,450,968,1418
230,322, Cleveland Early College ,32,52.5,456,459,447,915,1362
230,324, Crest Senior High ,144,53.5,496,464,433,960,1393
230,330, Turning Point Academy ,,   ,   ,   ,   ,   ,   
230,350, Kings Mountain High ,86,37.1,512,482,458,994,1452
230,361, Shelby High ,138,73.8,504,488,468,992,1460
240,240, Columbus County Schools ,208,48.3,436,417,408,853,1261
240,334, East Columbus High ,58,50,421,400,382,821,1203
240,371, South Columbus High ,79,50,457,435,427,892,1319
240,373, Southeastern Early College ,13,27.7,475,442,438,917,1355
240,380, West Columbus High ,58,54.2,414,405,400,819,1219
241,241, Whiteville City Schools ,103,67.3,468,462,455,930,1385
241,316, Whiteville High ,103,70.1,468,462,455,930,1385
250,250, Craven County Schools ,347,35.5,500,479,452,979,1431
250,314, Craven Early College High ,16,20.8,489,484,466,973,1439
250,321, Early College East High ,,   ,   ,   ,   ,   ,   
250,340, Havelock High ,94,35.5,511,491,470,1002,1472
250,356, New Bern High ,170,45,497,480,451,977,1428
250,372, West Craven High ,67,26.1,496,459,425,955,1380
260,260, Cumberland County Schools ,1737,53.7,461,464,442,925,1367
260,318, Jack Britt High ,285,66.3,506,507,487,1013,1500
260,322, Douglas Byrd High ,107,41.6,424,422,395,846,1241
260,325, Cape Fear High ,126,43.8,485,477,465,962,1427
260,354, Cross Creek Early College ,31,72.1,486,498,479,984,1463
260,357, Gray's Creek High ,133,47.8,465,470,439,935,1374
260,359, E E Smith High ,114,47.1,415,409,392,824,1216
