,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
                   , United States (All Students) ,1672395,52,513,497,487,1010,1497
  , North Carolina (All Students) ,57997,64,507,499,477,1006,1483
, NC School of Science & Math ,322,NA,694,664,647,1358,2005
, NC School of The Arts ,110,NA,573,597,578,1170,1748
10, Alamance-Burlington ,767,56.9,488,476,454,964,1418
303, Alamance-Burlington Mid Colleg ,4,12.5, * , * , * , * , * 
324, Eastern Alamance High ,130,59.9,502,477,453,979,1432
348, Graham High ,98,71,445,439,422,884,1306
360, Hugh M Cummings High ,68,45,429,395,385,824,1209
388, Southern Alamance High ,162,52.4,486,476,450,962,1412
396, Walter M Williams High ,132,60.6,518,505,492,1023,1515
400, Western Alamance High ,173,62.2,504,504,475,1008,1483
01B , River Mill Academy ,25,73.5,501,506,449,1007,1456
01C , Clover Garden ,25,86.2,505,474,464,979,1443
01D , The Hawbridge School ,16,57.1,522,554,534,1076,1610
20, Alexander County Schools ,123,31,506,477,456,983,1439
302, Alexander Central High ,123,31,506,477,456,983,1439
30, Alleghany County Schools ,41,38.7,482,477,445,959,1404
304, Alleghany High ,41,38.7,482,477,445,959,1404
40, Anson County Schools ,122,55,407,412,391,819,1210
304, Anson Early College High ,24,61.5,445,439,437,884,1321
306, Anson High ,78,52,398,407,381,805,1186
700, Anson New Technology School ,20,87,396,402,372,798,1170
50, Ashe County Schools ,101,48.3,512,484,461,996,1457
302, Ashe County High ,101,48.3,512,484,461,996,1457
60, Avery County Schools ,35,23,482,482,451,964,1415
302, Avery County High ,26,22.6,484,485,449,969,1418
700, Avery High Stem ,9,33.3,476,473,456,949,1405
06B , Crossnore Academy ,11,100,381,385,397,766,1163
70, Beaufort County Schools ,176,35.6,475,463,433,938,1371
311, Beaufourt County Early College ,15,23.4,508,516,469,1024,1493
330, Northside High ,33,37.1,501,457,434,958,1392
339, Southside High ,30,30,461,460,436,921,1357
342, Washington High ,98,44.1,466,458,427,924,1351
80, Bertie County Schools ,109,55.9,405,393,381,798,1179
311, Bertie Early College High ,20,52.6,460,439,406,899,1305
312, Bertie High ,51,52,365,372,363,737,1100
700, Bertie Stem High ,38,64.4,429,396,393,825,1218
90, Bladen County Schools ,148,44.8,427,416,389,843,1232
330, East Bladen High ,66,44,426,401,377,827,1204
368, West Bladen High ,82,45.6,428,428,399,856,1255
100, Brunswick County Schools ,301,32.6,492,484,462,976,1438
307, Brunswick County Early College ,26,27.7,518,500,505,1018,1523
326, North Brunswick High ,82,37.8,479,481,457,960,1417
334, South Brunswick High ,89,30.5,514,508,479,1022,1501
348, West Brunswick High ,104,33.3,476,461,442,937,1379
110, Buncombe County Schools ,895,50.6,531,520,492,1050,1542
303,Community High,2,7.1, * , * , * , * , * 
304, A C Reynolds High ,172,55.8,539,531,489,1070,1559
322, Buncombe County Early College ,29,33.7,561,575,520,1136,1656
336, Charles D Owen High ,114,61.3,512,515,480,1027,1507
340, Clyde A Erwin High ,83,33.5,500,491,452,991,1443
352, Enka High ,113,46.9,512,502,475,1014,1489
380, North Buncombe High ,145,58.2,534,509,478,1043,1521
416, T C Roberson High ,237,63.7,548,536,527,1084,1611
111, Asheville City Schools ,206,71.3,528,554,519,1082,1601
302, Asheville High ,178,73.6,524,548,510,1072,1582
700, Asheville High Of Inq & Life S ,28,59.6,551,591,577,1142,1719
120, Burke County Schools ,322,32.1,508,486,465,994,1459
